rank,gender,gender_dist_raw_html,forename_URL,name,incidence,frequency,Definition,approximate_usage,most_prevalent,highest_density,world_most_common_rank
186,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/theresa,Theresa,"163,434","1:1,086","A female name. (Latin Teresia, Theresia, Spanish, Italian Teresa, German Theresa, Theresia, French Thérèse). The origin of this name is obscure, and there is no real evidence for the usually accepted etymology from Greek θερίζω ‘to reap’.","1,008,489",United States,Dominica,883rd 
187,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/yunusa,Yunusa,"163,298","1:1,087","
Yunusa is a nigerianized or Hausa variant of the Arabic name Yunus, which itself is a cognate of the Biblical and Quranic prophet Jonah.
","166,877",Nigeria,Nigeria,"6,305th "
188,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/juliana,Juliana,"162,607","1:1,092","A female name. the f. form of Julian (q.v.). St Juliana was said to have been martyred at Nicomedia under Galienus and her relics were preserved at Brussels and Sablon. Her name was consequently a favourite in the Low Countries, and it was probably from there that it reached England towards the end of the 12th C.","1,448,009",Brazil,Saint Martin,517th 
189,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abigail,Abigail,"162,145","1:1,095","A female name. Hebrew signifying ‘father of exultation or joy’; the name of the wife of Nabal and afterwards of David (I Sam XXV). It came into use in England in the 16th C and was common in the 17th C. From a character so named in Beaumont and Fletcher’s play The Scornful Lady (1616) it became a slang term for a lady’s maid and gradually went out of fashion, though it never became obsolete.","552,359",Nigeria,Ghana,"1,806th "
190,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/rukayat,Rukayat,"161,824","1:1,097",,"162,672",Nigeria,Nigeria,"6,468th "
191,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/salihu,Salihu,"161,292","1:1,101",,"162,001",Nigeria,Nigeria,"6,489th "
192,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/buhari,Buhari,"156,699","1:1,133",,"171,596",Nigeria,Nigeria,"6,122nd "
193,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/agnes,Agnes,"156,337","1:1,136","A female name. (French Agnès, Italian Agnese, Agnete, Spanish Iñez)', from Greek άγνός, ‘pure’, ‘cnaste’. The original Latin form of the name was Agnes (-etis), but in the Middle Ages a form Agneta was commonly used. St Agnes, a 3rd-C saint, was one of the most popular virgin martyrs and her cult was very widespread.","1,889,987",Uganda,Saint Martin,332nd 
194,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/dorcas,Dorcas,"155,184","1:1,144","A female name. Greek δορκάς ‘a roe or gazelle’. In Acts ix. 36 Dorcas is given as an interpretation of the Aramaic Tabitha q.v., the name of the charitable disciple raised from death by St Paul. Both names became popular in the 17th C, and later Dorcas was the name given to a meeting of ladies to make clothes for the poor, in allusion to the story in Acts, where the poor are said to have wept over her, showing the coats and garments she had made for them.","523,105",Nigeria,Congo,"1,923rd "
195,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/josephine,Josephine,"155,157","1:1,144","A female name. French f. diminutive of Joseph (q.v.) The Empress Josephine, who is responsible for the modern vogue of the name, was actually named Marie Josèphe Rose, Josephine being a pet- name. Josepha was occasionally used in the last century, when the popularity of Joseph was at its height.","1,844,031",Philippines,Dominica,350th 
196, ,"<div class=""m"" style=""width:34px;"">&nbsp;</div>",https://forebears.io/forenames/opeyemi,Opeyemi,"154,773","1:1,147",,"156,745",Nigeria,Nigeria,"6,702nd "
197,84%,"<div class=""m"" style=""width:84px;"">84%</div>",https://forebears.io/forenames/gambo,Gambo,"154,762","1:1,147",,"197,999",Nigeria,Niger,"5,281st "
198,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/hussaini,Hussaini,"154,495","1:1,149",,"159,579",Nigeria,Nigeria,"6,584th "
199,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/sadiq,Sadiq,"154,272","1:1,151",,"561,221",Nigeria,Yemen,"1,779th "
200,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/happiness,Happiness,"154,113","1:1,152",,"314,989",Nigeria,Tanzania,"3,323rd "
201,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/saheed,Saheed,"154,075","1:1,152",,"163,665",Nigeria,Nigeria,"6,437th "
202,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/binta,Binta,"152,875","1:1,162",,"375,193",Nigeria,Gambia,"2,774th "
203,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/mathew,Mathew,"152,678","1:1,163",,"460,979",Nigeria,Nauru,"2,201st "
204,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/okechukwu,Okechukwu,"151,094","1:1,175",,"152,676",Nigeria,Nigeria,"6,876th "
205, ,"<div class=""m"" style=""width:49px;"">&nbsp;</div>",https://forebears.io/forenames/oluwaseun,Oluwaseun,"150,917","1:1,177","Oluwaseun means 'God, I thank you'. It can be shortened to Seun.","153,673",Nigeria,Nigeria,"6,829th "
206,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/sadiya,Sadiya,"150,766","1:1,178",,"234,969",Nigeria,Nigeria,"4,458th "
207,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/babatunde,Babatunde,"150,686","1:1,178","Babatunde is a Yoruba name, meaning 'returned'; though baba means 'father'. So, the meaning of this name is 'father has returned'.","157,936",Nigeria,Nigeria,"6,651st "
208,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/babangida,Babangida,"150,497","1:1,180",,"150,916",Nigeria,Nigeria,"6,959th "
209,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/cecilia,Cecilia,"150,191","1:1,182","A female name. (French Cécile, German Cäcilie); Latin Caecilia, f. of Caecilius (See Cecil). St Cecilia, martyred c. 177, was a Roman and presumably belonged to this family. She is mentioned in the Canon of Mass and was later regarded as the patroness of music, and her name became a favourite  one in the Western Church.","1,737,819",Mexico,Chile,386th 
210,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/kenneth,Kenneth,"150,155","1:1,183","A male name. Gaelic Caioneach ‘handsome’, ‘comely'. The Welsh form of the name is found in Cennydd s. of Gildas a 6th-C Welsh saint. It has been a favourite name in Scotland from the time of Kenneth (I), MacAlpine (d. 860), 1st King of Scotland.","2,136,671",United States,Tuvalu,282nd 
211,93%,"<div class=""m"" style=""width:93px;"">93%</div>",https://forebears.io/forenames/bright,Bright,"149,579","1:1,187",,"311,943",Nigeria,Ghana,"3,352nd "
212,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/salamatu,Salamatu,"149,331","1:1,189",,"168,416",Nigeria,Sierra Leone,"6,245th "
213,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/rosemary,Rosemary,"148,667","1:1,194","A female name. a late-19th-C application of the plant-name (rosmarinus = ‘sea dew’) as a christian name. It was not known to Charlotte Mary Yonge, History of ChristianNames, 2 vols. 1863. Revised ed. 1884, but is now common.","949,349",United States,Zimbabwe,956th 
214,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ramatu,Ramatu,"148,310","1:1,197",,"180,354",Nigeria,Sierra Leone,"5,817th "
215,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/jacob,Jacob,"146,479","1:1,212","A male name. Hebrew ăqōb 'following after’, 'supplanter'; the name of the younger s. of Isaac, who supplanted his elder brother Esau. The name was a favourite one among the Jews, and was borne by two of the apostles, ăqōb became in Greek ’Ιάκωβος, in Latin Jacōbus, but in late Latin it became Ja-cŏbus or Ja-cŏmus from the former of which developed the Italian Jacopo, Giacobbe, Spanish Jaco, Jago or Iago, French Jacques, English Jacob; from the latter come Spanish Jayme, Italian Iachimo, Giacomo, Provençal Jaume, Jacme, Old French James, Gemmes, English James, Jem, Jim.","1,139,040",United States,Denmark,736th 
216,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/kayode,Kayode,"146,257","1:1,214",,"152,902",Nigeria,Nigeria,"6,865th "
217,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/regina,Regina,"144,057","1:1,233","A female name. Latin regina ‘queen'. Sometimes used as a christian name in the Middle Ages, probably with reference to the Blessed Virgin as Queen of Heaven. Regina and Reina occur in 13th-C Latin records. The spoken version of the name was probably the French Reine.","2,018,799",Brazil,Palau,308th 
218,54%,"<div class=""m"" style=""width:54px;"">54%</div>",https://forebears.io/forenames/kelechi,Kelechi,"143,121","1:1,241",,"145,035",Nigeria,Nigeria,"7,217th "
219,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/timothy,Timothy,"141,631","1:1,254","A male name. Greek τιμόθεος, compound of τιμή) ‘honour’, ‘respect’, and θεός ‘god’. It was the name of the convert and companion of St Paul, to whom two of his epistles are addressed. It did not come into use in England until after the Reformation.","1,482,796",United States,Isle of Man,498th 
220,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/akeem,Akeem,"141,371","1:1,256",,"146,734",Nigeria,British Virgin Islands,"7,150th "
221,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/hassana,Hassana,"140,902","1:1,260",,"218,312",Nigeria,Niger,"4,791st "
222,98%,"<div class=""m"" style=""width:98px;"">98%</div>",https://forebears.io/forenames/amadu,Amadu,"140,813","1:1,261",,"209,752",Nigeria,Sierra Leone,"4,979th "
223,98%,"<div class=""m"" style=""width:98px;"">98%</div>",https://forebears.io/forenames/ugochukwu,Ugochukwu,"140,515","1:1,264",,"141,962",Nigeria,Nigeria,"7,377th "
224,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/hafsat,Hafsat,"139,194","1:1,276",,"139,610",Nigeria,Nigeria,"7,495th "
225,86%,"<div class=""m"" style=""width:86px;"">86%</div>",https://forebears.io/forenames/onyekachi,Onyekachi,"138,912","1:1,278",,"139,233",Nigeria,Nigeria,"7,520th "
226,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ismaila,Ismaila,"138,697","1:1,280",,"219,732",Nigeria,Gambia,"4,761st "
227,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ezekiel,Ezekiel,"138,359","1:1,283","Since, in Hebrew, it signifies ‘God will strengthen’, it should be compared with Hezekiah, ‘strength of the Lord’; but, like it, it is now seldom bestowed. Ezekiel was a prophet at the time of the Jewish exile in Babylon (C6 B. C.).","304,091",Nigeria,Liberia,"3,434th "
228,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/maimuna,Maimuna,"138,230","1:1,285",,"283,075",Nigeria,Gambia,"3,717th "
229,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/jude,Jude,"138,212","1:1,285","A male name. Hebrew Judah ‘praise', the name of the 4th s. of Jacob and Leah. Judas is the heilenized form, and Jude an abbreviation of it. It was not used by the Jews until post-exilic times, when it became common. As the name of Judas Iscariot it never had a chance of being used as a christian name, in spite of the popularity in the Middle Ages of Judas Maccabaeus.","309,872",Nigeria,Seychelles,"3,367th "
230,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/nkechi,Nkechi,"138,022","1:1,286",,"139,850",Nigeria,Nigeria,"7,480th "
231,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/danjuma,Danjuma,"138,009","1:1,287",,"138,163",Nigeria,Nigeria,"7,570th "
232,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/amos,Amos,"135,643","1:1,309","A male name. Hebrew ‘burthen’. The name of one of the minor Old Testament prophets, occasionally used since the Reformation and especially common in the USA.","716,769",Nigeria,Liberia,"1,348th "
233,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/tunde,Tunde,"135,030","1:1,315",,"152,699",Nigeria,Nigeria,"6,874th "
234,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/danladi,Danladi,"134,847","1:1,317",,"137,532",Nigeria,Nigeria,"7,597th "
235,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/femi,Femi,"134,790","1:1,317",,"157,514",Nigeria,North Macedonia,"6,667th "
236,94%,"<div class=""m"" style=""width:94px;"">94%</div>",https://forebears.io/forenames/dan,Dan,"134,668","1:1,319","Both a diminutive of Daniel and a m. ‘Christian’ in its own right. In Hebrew, it means a judge. It has no connexion with that odd phrase, apparently first used by Sterne in The Sentimental Journey, 1768: from Dan to Bersheeba, from one end of the land to the other; these two cities being at the extreme north and the extreme south of Canaan.","1,339,620",United States,Romania,582nd 
237, ,"<div class=""m"" style=""width:4px;"">&nbsp;</div>",https://forebears.io/forenames/adama,Adama,"134,028","1:1,325","Ad'-a-mah, red earth. The same as Admah.","1,405,725",Burkina Faso,Burkina Faso,543rd 
238,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/basiru,Basiru,"133,131","1:1,334",,"139,336",Nigeria,Gambia,"7,515th "
239,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/patricia,Patricia,"133,054","1:1,335","A female name. f. of Patricius (see Patrick). Patricia occurs from time to time in medieval Latin records, but then merely denotes a woman bearing the name Patrick. Its use as a genuine christian name seems to have begun in Scotland in the 18th C.","5,611,684",United States,Saint Martin,59th 
240,98%,"<div class=""m"" style=""width:98px;"">98%</div>",https://forebears.io/forenames/habibu,Habibu,"131,845","1:1,347",,"161,328",Nigeria,Nigeria,"6,522nd "
241,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/kazeem,Kazeem,"131,363","1:1,352",,"133,556",Nigeria,Nigeria,"7,802nd "
242,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/angela,Angela,"131,350","1:1,352","A female name. a f. form of Angel q.v. There was a 14th-C Franciscan saint of the name, and it has been used occasionally in Italy and France (Angèle). Charlotte Mary Yonge, History of ChristianNames, 2 vols. 1863. Revised ed. 1884 says ‘occasionally used by lovers of ornamental names’, and that Angel and Angela are sometimes found in the 17th C.","3,976,946",United States,Saint Martin,97th 
243,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ojo,Ojo,"130,242","1:1,363",,"137,430",Nigeria,Nigeria,"7,603rd "
244,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/gbenga,Gbenga,"129,685","1:1,369",,"132,572",Nigeria,Nigeria,"7,866th "
245,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/clement,Clement,"129,562","1:1,370","A male name. Latin clemens, clementis, ‘mild’, ‘merciful’, the name of a saint, the first of the Apostolic Fathers and a disciple of St Paul, and of many subsequent popes. St Clement has over 40 church dedications in this country, and his name was a favourite one from the end of the 12th C until the Reformation; C.","660,088",DR Congo,Dominica,"1,485th "
246,71%,"<div class=""m"" style=""width:71px;"">71%</div>",https://forebears.io/forenames/abu,Abu,"129,432","1:1,372",,"675,986",Nigeria,Sierra Leone,"1,445th "
247, ,"<div class=""m"" style=""width:15px;"">&nbsp;</div>",https://forebears.io/forenames/adeola,Adeola,"129,289","1:1,373",,"135,368",Nigeria,Nigeria,"7,688th "
248,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/magaji,Magaji,"128,901","1:1,378",,"130,524",Nigeria,Nigeria,"7,987th "
249,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/aishat,Aishat,"128,797","1:1,379",,"130,626",Nigeria,Nigeria,"7,981st "
250,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/safiya,Safiya,"126,569","1:1,403",,"307,928",Nigeria,Somalia,"3,386th "
251,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/stanley,Stanley,"126,515","1:1,404","A male name. a surname derived from a common place-name. It is not mentioned by Charlotte Mary Yonge, History of ChristianNames, 2 vols. 1863. Revised ed. 1884, and its use as a christian name is apparently a recent development, originally due to the popularity of the explorer Henry Stanley (1841—1904), whose real name was not Stanley but Rowlands.","832,875",United States,Saint Martin,"1,118th "
252, ,"<div class=""m"" style=""width:17px;"">&nbsp;</div>",https://forebears.io/forenames/ebere,Ebere,"126,063","1:1,409",,"126,673",Nigeria,Nigeria,"8,202nd "
253,78%,"<div class=""m"" style=""width:78px;"">78%</div>",https://forebears.io/forenames/bassey,Bassey,"125,382","1:1,416",,"126,385",Nigeria,Nigeria,"8,216th "
254,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abosede,Abosede,"124,458","1:1,427",,"125,492",Nigeria,Nigeria,"8,270th "
255,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/titilayo,Titilayo,"124,073","1:1,431",,"125,997",Nigeria,Nigeria,"8,236th "
256,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/prince,Prince,"124,024","1:1,432","A Teutonic name, meaning: Of the ruling house.","829,483",Ghana,Congo,"1,123rd "
257,91%,"<div class=""m"" style=""width:91px;"">91%</div>",https://forebears.io/forenames/uchechukwu,Uchechukwu,"123,956","1:1,432",,"124,478",Nigeria,Nigeria,"8,325th "
258,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/racheal,Racheal,"123,954","1:1,433",,"254,760",Nigeria,Zambia,"4,122nd "
259,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/philip,Philip,"123,252","1:1,441","A male name. Greek Φίλιππος ‘lover of horses’, the name of one of the apostles. It was common in England in the Middle Ages, as is shown by the number of surnames derived from it and its nicknames; there are 8 ways of spelling the simple patronymic Philip, Philips, besides Philipson, Philp,Philps, Phelip, Phelips, Phelps, Philpot, Philpots (from the French diminutive Philip-ot), Philkin, Philcox, Phipps, Philson and others.","1,401,640",United States,Sierra Leone,550th 
260,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/vincent,Vincent,"123,132","1:1,442","A male name. Latin Vincentius, derivative of vincens ‘conquering’. There was a 3rd-C martyr of this name at Zaragoza, whose cult was fairly extensive; and the name is found in England from the 13th C, giving rise to the surnames Vincent, Vince, Vincey.","1,540,963",France,Dominica,472nd 
261,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/vivian,Vivian,"122,934","1:1,444","A male name. Latin Vivianus, derivative of vivus ‘alive’. St Vivianus was a 5th-C martyr, who sometimes appears as Bibianus. The name is found in England from the 12th C, but has never been common. In the Middle Ages it was sometimes spelt Phythian, Fithian, &c.","813,294",United States,Aruba,"1,153rd "
262,97%,"<div class=""m"" style=""width:97px;"">97%</div>",https://forebears.io/forenames/saminu,Saminu,"121,663","1:1,459",,"121,952",Nigeria,Nigeria,"8,481st "
263,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/tukur,Tukur,"121,288","1:1,464",,"121,452",Nigeria,Nigeria,"8,517th "
264, ,"<div class=""m"" style=""width:4px;"">&nbsp;</div>",https://forebears.io/forenames/oluwatoyin,Oluwatoyin,"120,717","1:1,471",,"123,103",Nigeria,Nigeria,"8,411th "
265,97%,"<div class=""m"" style=""width:97px;"">97%</div>",https://forebears.io/forenames/chidi,Chidi,"120,496","1:1,474",,"128,207",Nigeria,Nigeria,"8,121st "
266,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/jibrin,Jibrin,"120,403","1:1,475",,"121,783",Nigeria,Nigeria,"8,495th "
267,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/evelyn,Evelyn,"120,223","1:1,477","A female name. Old German Avelina, a hypocoristic form of Avi (cf. the m. name Avila). The Normans introduced Aveline into England and it was common in the 12th and 13th C, giving rise to the surnames Aveling, Eveling, Evelyn, Eveline, &c.","1,558,331",United States,Isle of Man,457th 
268, ,"<div class=""m"" style=""width:2px;"">&nbsp;</div>",https://forebears.io/forenames/ogechi,Ogechi,"120,102","1:1,478",,"121,563",Nigeria,Nigeria,"8,512th "
269,89%,"<div class=""m"" style=""width:89px;"">89%</div>",https://forebears.io/forenames/okon,Okon,"119,290","1:1,489",,"123,492",Nigeria,Nigeria,"8,385th "
270, ,"<div class=""m"" style=""width:4px;"">&nbsp;</div>",https://forebears.io/forenames/chinenye,Chinenye,"119,223","1:1,489",,"119,811",Nigeria,Nigeria,"8,616th "
271,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/mohammad,Mohammad,"118,486","1:1,499","
The name Mohammad means 'praiseworthy' in Arabic. It is the name of the Prophet in Islam.
","16,782,433",Pakistan,Afghanistan,8th 
272,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/saratu,Saratu,"118,297","1:1,501",,"121,635",Nigeria,Nigeria,"8,509th "
273,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/azeez,Azeez,"118,163","1:1,503",,"130,717",Nigeria,Nigeria,"7,974th "
274, ,"<div class=""m"" style=""width:5px;"">&nbsp;</div>",https://forebears.io/forenames/chisom,Chisom,"117,681","1:1,509",Chisom is an Igbo name that means 'God follows me'.,"118,126",Nigeria,Nigeria,"8,727th "
275,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/jimoh,Jimoh,"117,381","1:1,513",,"117,654",Nigeria,Nigeria,"8,761st "
276,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/bosede,Bosede,"116,419","1:1,525",,"117,090",Nigeria,Nigeria,"8,805th "
277,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/chukwuma,Chukwuma,"115,892","1:1,532",,"116,983",Nigeria,Nigeria,"8,818th "
278,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/martha,Martha,"114,979","1:1,544","A female name. apparently the f. of Aramaic mar ‘a lord’; the name of the sister of Mary and Lazarus, whom medieval legend transported with her sister to Provence, where her name became a favourite one (Marthe). It was not, however, used in England until after the Reformation, when it became not uncommon and evolved the nicknames Matty and Patty (cf.","4,232,701",Mexico,South Sudan,84th 
279,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/funke,Funke,"114,907","1:1,545",,"115,877",Nigeria,Nigeria,"8,901st "
280,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/beatrice,Beatrice,"114,797","1:1,547","A female name. (French Béatrix, Italian Beatrice, Bice, Spanish Beatriz); Latin ‘bringer of joy’, the name of a 4th-C Roman saint. It occurs as the name of a sub-tenant in Domesday Book, and was fairly common from the 12th to 13th C. The two forms of the name are relics of the old French cas-sujet Béatrix, and cas- régime Béatriz; both occur in England, but the second was the commoner; in 1487 it appears as Beautrice, a little later as Betteresse and in 1604 as Bettris.","1,687,443",DR Congo,Zambia,407th 
281,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abdulkadir,Abdulkadir,"114,546","1:1,550","Abd al-Qadir or Abdulkadir (Arabic: عبد القادر‎) is a male Muslim given name. It is formed from the Arabic words Abd, al- and Qadir. The name means 'servant of the powerful', Al-Qādir being one of the names of God in the Qur'an, which give rise to the Muslim theophoric names.","276,551",Nigeria,Turkey,"3,800th "
282,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/inno,Inno,"114,298","1:1,554",,"117,161",Nigeria,Nigeria,"8,800th "
283,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ladi,Ladi,"114,134","1:1,556",,"177,551",Nigeria,Niger,"5,919th "
284,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/adewale,Adewale,"113,572","1:1,563",,"119,447",Nigeria,Nigeria,"8,641st "
285,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/richard,Richard,"113,451","1:1,565","A male name. the existence of an Old English Richeard, compound of rice ‘rule’ and heard ‘hard’, is not certain, though both elements were in use, and the great popularity of the name Richard in the Middle Ages was due to importation from the Continent, the Normans bringing in French Richard (from the corresponding Old German Ricohard).","7,055,991",United States,Palau,42nd 
286,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abdulahi,Abdulahi,"113,308","1:1,567",,"239,122",Nigeria,Somalia,"4,386th "
287,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/andrew,Andrew,"113,271","1:1,568","A male name. (Latin Andreas, French André, Italian Andrea, Spanish Andres, German, Dutch, Andreas, Russian Andrei); Greek ’Ανδρέας, from άνδρείος ‘manly’. The name of the first disciple called by Jesus, the brother of Simon Peter, and patron saint of Scotland and of Russia.","3,233,978",United States,Tuvalu,145th 
288,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/kemi,Kemi,"112,640","1:1,576",,"129,671",Nigeria,Nigeria,"8,052nd "
289,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/anas,Anas,"112,404","1:1,580",Anas is an Arabic masculine given name from Al-Ans.,"531,192",Nigeria,Jordan,"1,887th "
290,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/lydia,Lydia,"112,350","1:1,580","A female name. Greek Λυδία ‘woman of Lydia'. Lydia of Thyatira is mentioned in Acts xvi, and was, in apocryphal writings, identified with a d. of Joseph of Nazareth. The name came into use in England in the 17th C.","1,272,677",Uganda,Namibia,633rd 
291,65%,"<div class=""m"" style=""width:65px;"">65%</div>",https://forebears.io/forenames/seun,Seun,"112,275","1:1,582","Oluwaseun means 'God, I thank you'. It can be shortened to Seun.","118,056",Nigeria,Nigeria,"8,731st "
292, ,"<div class=""m"" style=""width:35px;"">&nbsp;</div>",https://forebears.io/forenames/tosin,Tosin,"112,193","1:1,583",Oluwatosin means 'God is worthy to be served'. It can be shortened to Tosin.,"118,619",Nigeria,Nigeria,"8,695th "
293, ,"<div class=""m"" style=""width:40px;"">&nbsp;</div>",https://forebears.io/forenames/tope,Tope,"112,125","1:1,584",,"115,903",Nigeria,Nigeria,"8,898th "
294,75%,"<div class=""m"" style=""width:75px;"">75%</div>",https://forebears.io/forenames/chigozie,Chigozie,"111,919","1:1,587",,"112,640",Nigeria,Nigeria,"9,132nd "
295,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/anthonia,Anthonia,"111,819","1:1,588","Anthonia is a Swedish, Danish, and Finnish feminine given name that is a form of Antonia that is used in Finland, Denmark, Sweden, Republic of Karelia, Estonia and Greenland.","122,625",Nigeria,Nigeria,"8,434th "
296, ,"<div class=""m"" style=""width:13px;"">&nbsp;</div>",https://forebears.io/forenames/chidinma,Chidinma,"111,310","1:1,595",,"112,253",Nigeria,Nigeria,"9,162nd "
